corpus_id,filename,filename_slug,opening_title,active_status,file_size_bytes,sha256,source_repository,publication_date,author_normalized,title_normalized,textual_condition,redistribution_status,notes
BGH001,BGH001_Joseph_Sheridan_Le_Fanu_Madam_Crowl_s_Ghost.txt,Joseph_Sheridan_Le_Fanu_Madam_Crowl_s_Ghost,MADAM CROWL'S GHOST,active,30261,4568240f8e0b8ffaa425133b862d54051e581c06092a8f4c44cc235e079379e7,pending verification,unverified,unverified,unverified,plain-text witness; quality review pending,not deposited; rights/provenance review pending,
BGH002,BGH002_Joseph_Sheridan_Le_Fanu_The_Dead_Sexton.txt,Joseph_Sheridan_Le_Fanu_The_Dead_Sexton,THE DEAD SEXTON,active,39888,f28e82d3eefcc4407f1c0256b145230e58baccbae710119d72130ad92b6bb5da,pending verification,unverified,unverified,unverified,plain-text witness; quality review pending,not deposited; rights/provenance review pending,
BGH003,BGH003_Joseph_Sheridan_Le_Fanu_An_Account_of_Some_Strange_Disturbances_in_Aungier_Street.txt,Joseph_Sheridan_Le_Fanu_An_Account_of_Some_Strange_Disturbances_in_Aungier_Street,An Account of Some Strange,active,47303,dac6a1974eb062c75edcd5bf0c13876a150fbdf74aaab16db493939afbf78d7d,pending verification,unverified,unverified,unverified,plain-text witness; quality review pending,not deposited; rights/provenance review pending,
